th_time,th
2122.70900011,91.232
2124.83400011,96.472
2126.83400011,74.916
2128.875,106.62
2130.87400007,162.324
2132.9150002,131.224
2134.99800014,166.172
2137.0400002,377.3
2139.08100009,288.884
2141.08000016,237.796
2143.16300011,443.052
2145.204,391.408
2147.32700014,459.856
2149.32800007,444.896
2151.37000012,341.132
2153.3690002,375.588
2155.3690002,714.112
2157.36800003,399.94
2159.36800003,494.548
2161.3670001,405.216
2163.3670001,407.788
2165.36600018,362.752
2167.40799999,689.9
2169.44900012,389.58
2171.49000001,506.256
2173.53100014,419.54
2175.57200003,745.708
2177.65499997,330.3
2179.65499997,366.076
2181.65400004,362.908
2183.65400004,428.34
2185.65300012,713.304
2187.65300012,382.576
2189.65200019,336.436
2191.65200019,333.976
2193.65200019,678.832
2195.69300008,302.128
2197.73400021,355.688
2199.7750001,300.168
2201.81599998,562.62
2203.81599998,543.4
2205.81500006,320.08
2207.85700011,397.76
2209.898,334.576
2211.93900013,315.488
2213.93900013,370.62
2216.02100015,415.076
2218.0630002,410.864
2220.10400009,415.864
2222.14300013,366.916
2224.14499998,403.044
2226.14400005,368.092
2228.18500018,405.68
2230.18500018,340.832
2232.22600007,309.496
2234.2670002,274.96
2236.30800009,314.356
2238.30800009,360.084
2240.30800009,280.724
2242.34899998,353.1
2244.3900001,321.22
2246.47300005,274.2
2248.47200012,721.104
2250.55500007,697.692
2252.59600019,333.0
2254.59600019,586.632
2256.63700008,569.504
2258.67799997,523.676
2260.76100016,619.372
2262.84200001,728.236
2264.84200001,684.54
2266.88499999,836.828
2268.96800017,753.164
2270.96700001,541.56
2272.96700001,506.032
2275.00800014,478.332
2277.04900002,672.184
2279.04900002,594.984
2281.0480001,690.56
2283.0480001,692.636
2285.04700017,573.74
2287.04700017,643.076
2289.046,516.284
2291.046,691.044
2293.08700013,601.672
2295.12800002,690.276
2297.12800002,584.756
2299.12700009,651.596
2301.16900015,539.736
2303.21000004,414.876
2305.20900011,278.008
2307.2750001,255.16
2309.31599998,358.436
2311.31599998,393.096
2313.31500006,347.48
2315.31500006,79.056
2317.31400013,53.66
2319.31400013,12.792
2321.3130002,13.392
2323.3130002,15.4
2325.31200004,29.516
2327.31200004,32.964
2329.31200004,23.804
2331.31100011,23.288
2333.31100011,25.544
2335.31000018,28.676
2337.31000018,26.9
2339.35100007,23.644
2341.35000014,20.652
2343.35000014,455.672
2345.35000014,710.744
2347.34899998,354.684
2349.34899998,271.932
2351.34800005,234.244
2353.34800005,41.036
2355.34700012,34.536
2357.38800001,229.016
2359.38800001,258.888
2361.38800001,286.528
2363.38700008,143.568
2365.38700008,128.34
2367.38600016,124.076
2369.38600016,270.472
2371.38499999,376.076
2373.38499999,290.472
2375.38400006,282.508
2377.38400006,194.572
2379.38300014,144.072
2381.38300014,169.56
2383.38300014,244.348
2385.38200021,297.624
2387.38200021,204.016
2389.38100004,185.876
2391.38100004,257.184
2393.38000011,201.748
2395.38000011,151.768
2397.37900019,117.032
2399.37900019,131.86
2401.37800002,253.2
2403.37800002,212.644
2405.37700009,209.892
2407.37700009,255.848
2409.37700009,253.68
2411.37600017,283.968
2413.37600017,273.824
2415.375,298.944
2417.375,300.852
2419.37400007,325.224
2421.41400003,297.176
2423.37300014,279.192
2425.41300011,268.8
2427.37199998,168.148
2429.37199998,209.456
2431.37199998,233.296
2433.41300011,265.008
2435.37100005,239.884
2437.41200018,224.244
2439.41000009,172.4
2441.40900016,261.016
2443.3690002,166.592
2445.36800003,180.992
2447.36800003,152.208
2449.3670001,268.804
2451.3670001,217.832
2453.3670001,227.756
2455.36600018,351.964
2457.40700006,204.528
2459.36500001,256.856
2461.36500001,212.192
2463.36400008,162.324
2465.36400008,138.8
2467.36300015,154.324
2469.40300012,117.468
2471.40200019,174.088
2473.40200019,178.656
2475.40100002,240.804
2477.44300008,214.236
2479.44200015,190.784
2481.44200015,120.112
2483.44099998,173.308
2485.44300008,179.944
2487.48400021,353.088
2489.48300004,428.224
2491.523,420.876
2493.52200007,355.98
2495.52200007,358.932
2497.523,362.472
2499.5630002,319.944
2501.56200004,380.772
2503.56200004,453.084
2505.56100011,378.376
2507.60400009,356.172
2509.60400009,323.896
2511.68700004,358.568
2513.72800016,437.108
2515.76900005,410.348
2517.852,353.712
2520.01800013,339.732
2522.1420002,376.428
2524.2670002,341.148
2526.2670002,390.852
2528.39100003,390.396
2530.51600003,358.228
2532.6400001,400.288
2534.72100019,333.248
2536.76400018,348.092
2538.88900018,287.544
2541.01300001,462.972
2543.13800001,518.852
2545.26200008,458.4
2547.26200008,297.224
2549.30299997,439.496
2551.42700005,314.66
2553.50999999,237.488
2555.63499999,227.076
2557.80100012,241.372
2559.88200021,165.936
2561.88200021,310.808
2563.92500019,250.804
2565.96600008,331.576
2568.00700021,380.172
2570.0480001,319.54
2572.08899999,238.672
2574.21399999,311.124
2576.25500011,320.104
2578.296,224.528
2580.37900019,201.444
2582.46200013,205.536
2584.5860002,249.344
